Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.00,.03,.06,-.02,-.12,-.24,-.16,.07,-.04,-.14,.00,.06,-.04,***,***,-.03,-.11,-.06
1881,-.08,-.06,.10,.10,.09,-.05,-.07,-.01,-.03,.00,.00,.10,.01,.00,-.03,.10,-.04,-.01
1882,.07,.07,.07,-.01,-.04,-.15,-.04,.02,-.04,.04,-.01,-.07,-.01,.01,.08,.01,-.06,.00
1883,-.02,-.08,-.08,-.07,-.10,-.01,-.08,-.04,-.10,-.05,-.04,-.06,-.06,-.06,-.06,-.08,-.04,-.06
1884,-.08,-.05,-.10,-.21,-.31,-.28,-.21,-.06,-.10,-.06,-.10,-.15,-.14,-.13,-.06,-.21,-.18,-.09
1885,-.20,-.22,-.30,-.35,-.32,-.42,-.33,-.21,-.18,-.12,-.11,-.09,-.24,-.24,-.19,-.32,-.32,-.14
1886,-.14,-.20,-.16,-.20,-.15,-.31,-.21,-.18,-.14,-.23,-.15,-.28,-.19,-.18,-.14,-.17,-.23,-.17
1887,-.36,-.44,-.27,-.31,-.35,-.27,-.26,-.16,-.29,-.22,-.25,-.23,-.28,-.29,-.36,-.31,-.23,-.25
1888,-.20,-.13,-.21,-.19,-.29,-.31,-.20,-.09,-.04,.06,.07,.15,-.11,-.15,-.19,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.12,-.06,-.19,-.17,-.10,-.06,-.04,-.04,-.02,.09,.06,-.13,-.11
1890,-.21,-.32,-.33,-.35,-.43,-.32,-.32,-.38,-.38,-.39,-.25,-.16,-.32,-.31,-.19,-.37,-.34,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.23,-.21,-.23,-.15,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.09,-.06,-.14,-.21,-.23,-.37,-.25,-.20,-.12,.00,-.03,-.11,-.15,-.15,-.07,-.19,-.27,-.05
1893,-.13,-.17,-.12,-.24,-.24,-.32,-.14,-.16,-.16,-.08,-.04,-.03,-.15,-.16,-.14,-.20,-.20,-.09
1894,-.14,-.16,-.24,-.35,-.35,-.40,-.26,-.20,-.23,-.18,-.04,-.07,-.22,-.21,-.11,-.31,-.29,-.15
1895,-.13,-.06,-.16,-.25,-.24,-.21,-.14,-.06,-.18,-.11,-.20,-.05,-.15,-.15,-.08,-.22,-.13,-.16
1896,-.09,-.07,-.04,-.01,-.15,-.28,-.05,.01,-.02,.09,.12,.12,-.03,-.05,-.07,-.07,-.11,.06
1897,.09,.07,.11,.00,-.16,-.16,-.08,-.11,-.10,-.10,-.10,-.13,-.05,-.03,.10,-.01,-.11,-.10
1898,-.10,-.16,-.23,-.34,-.33,-.29,-.33,-.35,-.25,-.32,-.26,-.20,-.26,-.26,-.13,-.30,-.32,-.28
1899,-.20,-.13,-.14,-.18,-.21,-.27,-.15,-.10,-.05,-.12,-.09,-.06,-.14,-.15,-.18,-.18,-.17,-.09
1900,-.10,.02,-.05,-.08,-.13,-.09,-.13,-.07,-.06,-.02,.00,-.10,-.07,-.06,-.05,-.09,-.10,-.03
1901,-.11,-.13,-.15,-.15,-.18,-.24,-.29,-.23,-.17,-.26,-.13,-.14,-.18,-.18,-.11,-.16,-.25,-.19
1902,-.19,-.15,-.17,-.18,-.25,-.22,-.22,-.30,-.24,-.26,-.26,-.23,-.22,-.21,-.16,-.20,-.25,-.25
1903,-.24,-.23,-.30,-.36,-.36,-.39,-.27,-.35,-.50,-.48,-.44,-.46,-.37,-.35,-.23,-.34,-.34,-.47
1904,-.52,-.57,-.57,-.51,-.59,-.48,-.43,-.43,-.48,-.39,-.26,-.32,-.46,-.47,-.52,-.56,-.45,-.38
1905,-.28,-.36,-.21,-.22,-.29,-.27,-.29,-.15,-.18,-.21,-.22,-.08,-.23,-.25,-.32,-.24,-.24,-.20
