Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1928,.25,.08,-.24,-.33,-.18,-.34,-.12,-.20,-.17,-.10,.03,-.05,-.12,-.14,-.02,-.25,-.22,-.08
1929,-.57,-.80,-.20,-.36,-.29,-.40,-.37,-.21,-.22,-.03,-.03,-.66,-.35,-.29,-.47,-.28,-.33,-.09
1930,-.13,-.20,.11,-.16,-.21,-.13,-.05,.01,-.03,.01,.44,.08,-.02,-.09,-.33,-.09,-.06,.14
1931,.00,-.23,-.07,-.21,-.15,.14,.07,.09,.17,.37,.25,.10,.04,.04,-.05,-.14,.10,.26
1932,.38,-.19,-.21,.10,-.11,-.15,-.15,-.08,.10,.13,-.33,-.22,-.06,-.03,.10,-.07,-.13,-.03
1933,-.19,-.31,-.32,-.17,-.26,-.32,-.14,-.15,-.28,-.17,-.25,-.55,-.26,-.23,-.24,-.25,-.20,-.23
1934,-.15,.32,-.28,-.29,.07,-.02,-.05,-.10,-.14,.12,.26,.17,-.01,-.07,-.13,-.16,-.06,.08
1935,-.41,.56,.03,-.37,-.29,-.16,-.05,-.07,-.06,.10,-.32,-.17,-.10,-.07,.11,-.21,-.09,-.09
1936,-.29,-.51,-.13,-.06,-.01,.03,.08,.02,.06,.07,.14,.14,-.04,-.07,-.32,-.07,.04,.09
1937,.08,.24,-.23,-.08,.11,.14,.14,.15,.28,.32,.23,-.01,.11,.13,.15,-.07,.14,.27
1938,.34,.28,.34,.30,.02,-.08,-.03,.07,.14,.30,.30,-.13,.15,.16,.20,.22,-.01,.25
1939,.02,-.02,-.25,-.10,.00,-.01,.04,.07,.11,.06,.24,.77,.08,.00,-.04,-.12,.03,.14
1940,-.11,.13,.02,.27,.15,.15,.14,.06,.25,.27,.29,.35,.16,.20,.26,.14,.12,.27
1941,.17,.46,.12,.12,.23,.20,.24,.18,.10,.49,.17,.18,.22,.24,.33,.16,.21,.25
1942,.39,-.09,-.01,.08,.16,.09,-.02,-.09,.10,.27,.25,.26,.12,.11,.16,.08,.00,.21
1943,-.10,.38,-.01,.30,.22,-.08,-.03,.09,.13,.46,.36,.37,.17,.17,.18,.17,.00,.32
1944,.62,.43,.31,.18,.23,.16,.14,.16,.36,.44,.19,-.01,.27,.30,.47,.24,.15,.33
1945,.11,-.06,.10,.29,.08,.07,.06,.28,.20,.24,.09,-.22,.10,.12,.02,.15,.14,.18
1946,.34,.09,.12,.32,.03,-.06,-.04,-.10,-.04,.02,.07,-.46,.02,.04,.07,.16,-.07,.02
1947,-.04,-.03,.28,.22,.07,.00,-.03,-.04,-.02,.40,.19,-.05,.08,.04,-.18,.19,-.03,.19
1948,.30,-.15,-.27,-.03,.17,.04,.01,.02,-.03,.08,.03,-.39,-.02,.01,.03,-.05,.03,.03
1949,.22,-.09,.04,-.03,.00,-.20,-.11,-.05,-.10,.06,.05,-.14,-.03,-.05,-.09,.00,-.12,.00
1950,-.29,-.27,.06,-.22,-.05,-.07,-.19,-.20,-.09,-.07,-.34,-.13,-.15,-.16,-.23,-.07,-.15,-.16
1951,-.36,-.51,-.19,.06,.17,-.02,.08,.22,.33,.28,.08,.38,.04,.00,-.34,.02,.09,.23
1952,.16,.17,-.22,.17,.15,.15,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.03,.12,-.03
1953,.23,.37,.25,.41,.24,.25,.21,.18,.17,.27,.09,.22,.24,.22,.20,.30,.22,.18
1954,-.24,-.01,-.17,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.43,-.12,-.43,-.24,-.13,-.10,-.05,.07,-.02,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.11,-.23,-.25,-.21,-.27,-.23,-.29
1957,-.13,-.06,-.10,-.09,-.05,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
